List_Type,Price,Item_Title,Time_Listed,Location
Computers,$300,Dell Inspiron 660 windows 7 pro New in box,2h ago,
Computers,$250,Epson Artisan 810 Printer NEW prints on CD DVD,2h ago,
Computers,$570,"Apple 2019 16"" MacBook Pro 2.6GHz i7-9750H, 16GB RAM 512GB SSD Touch B",3h ago,Kansas City KS
Computers,$150,"Lenovo X1 Tablet Intel Core m7-6Y75 1.2GHz 8GB RAM 256GB SSD W10p,Touc",4h ago,Kansas City KS
Computers,$175,Varidesk ProPlus 36,5h ago,"Nevada, MO"
Computers,$30,Google Nest WiFi H2D 2nd Gen Mesh AC2200 Router w/ Cable Tested,6h ago,Overland Park
Computers,$20,Google Wifi AC1200 Dual-Band Mesh Model GJ2CQ,6h ago,Overland Park
Computers,$10,"24"" Samsung LED Monitor S24D300",6h ago,Overland Park
Computers,$850,Computer,6h ago,Kansas City
Computers,$400,Custom Built Tower Quad-Core Desktop Computer,6/6,Independence
Computers,$150,Dell Latitude E5550 WIN10 PR0 i7 16GB 256GB SSD  RAM Webcam,6/6,Gardner
Computers,$495,Tripp Lite SRXCOOL7KRM Rack-Mount Cooling Unit Air Conditioner,6/6,Blue Springs
Computers,$65,Global - Counter Top Crt Security Computer Cabinet - Putty - 607294PY,6/6,Blue Springs
Computers,$90,Tripplite network computer server 5U rack unit Wall mount NEW,6/6,Blue Springs
Computers,$125,Tripplite network computer server 5 rack unit cabinet enclosure NEW,6/6,Blue Springs
Computers,"$2,000",4080+R9 7900x,6/5,Overland Park
Computers,"$1,200",I7-12700K,6/5,Kansas City
Computers,$545,"7.3"" FHD Dell Precision 7740 i7-9850H 2.6GHz 512GB SSD 16GB RAM W11p R",6/5,Kansas City KS
Computers,$160,HP Envy M7 Touchscreen Laptop,6/5,
Computers,$160,Dell Precision M6800 Laptop i7 4810MQ 2.8GHz 16GB RAM 128GB SSD Quadro,6/5,Kansas City KS
Computers,$575,Gaming PC,6/5,Gladstone
Computers,$150,eMachines EL1850 Windows 7 Celeron 450 4GB RAM 500GB HDD Win7 Software,6/5,"Kansas City, MO"
Computers,$500,"Apple iMac  2.7 21.5""",6/5,Liberty
Computers,$15,Laptop raiser,6/5,South Overland park
Computers,$25,Dear raiser for work,6/5,South Overland park
Computers,$250,"32"" Dell 2K IPS Monitor",6/5,Merriam
Computers,$20,monitor lift new,6/5,lees summit
Computers,$50,massage homedics like new,6/5,lees summit
Computers,$50,HP Deskjet Printer,6/5,Oak Grove
Computers,$800,Electric scooter,6/4,Gladstone
Computers,$240,Remarkable 2 Paper Tablet with Accessories,6/4,Olathe
Computers,$675,MacBook Air M2,6/4,"Overland Park, Kansas"
Computers,"$1,300",M3 MacBook Pro 14 inch,6/4,"Overland Park, Kansas"
Computers,$245,Lenovo x1 Carbon i7-7600U 2.80GHz 16GB 512GB SSD Windows 11 Pro,6/4,Kansas City KS
Computers,$220,"HP ProBook 440 G7 14"" i5-10210U,1.60GHz , 16GB RAM, 256GB SSD",6/4,Kansas City KS
Computers,$225,"HP ProBook 450 G6 15.6"" 2018 FHD 1.8GHz i7-8565U 16GB 256GB SSD MX130",6/4,Kansas City KS
Computers,$50,"New & Perfect 12"" Win10 Laptop with Charger - Ready to Use",6/4,"87th & Metcalf, OP"
Computers,$40,Dell Inspiron 3650 - i5-6400 8Gb 1Tb DVD Win10 - Ready,6/4,"87th & Metcalf, OP"
Computers,$35,Working Asus ROG Strix B760i Gaming WiFi Motherboard,6/4,"87th & Metcalf, OP"
Computers,$299,**REDUCED**  Brand New Lenovo IdeaPad L340-17API,6/4,Independence
Computers,$70,HP Prodesk G2,6/4,Independence
Computers,$200,"HP EliteBook 840 G6 14"" Intel Core i5-8365U 512GB SSD 16GB RAM A Win 1",6/4,Kansas City KS
Computers,$80,Dell laptop Inspiron 15-3565 AMD A6-9200 processor,6/4,Overland Park
Computers,$20,ink samsung printer ink cartridge new,6/4,lees summit
Computers,$180,MacBook Air,6/4,Smithville MO
Computers,$0,FREE HP OFFICEJET 5500 SERIES,6/3,"Sugar Creek, MO"
Computers,$400,Microsoft Surface Laptop 3 Core i5/8GB/256GB/Win 11,6/3,Overland Park
Computers,$40,"24"" Monitor & Keyboard",6/3,Olathe
Computers,$25,router medialink wireless like new,6/3,lees summit
Computers,$5,epson printer ink set of 4pk new,6/3,lees summit
Computers,$75,printer hp 3830 wireless with ink like new,6/3,lees summit
Computers,$15,Computer Monitors,6/3,Parkville
Computers,$325,Sleeper eSports computer,6/2,Independence
Computers,$300,Dell Optiplex 7070,6/2,
Computers,$30,Asus EeeBox PC,6/2,
Computers,$700,Lenovo Ideapad Gaming 3 16ARH7,6/2,"Olathe, KS"
Computers,$25,Asus ROG Strix B760i Gaming WiFi Motherboard,6/2,"87th & Metcalf, OP"
Computers,$80,iPad  12 16GB KeyBoard Brydge+,6/2,lee's summit
Computers,$50,Dell 24 inch monitor,6/2,Overland Park
Computers,$250,2 - Epson 3800 printers,6/2,North Overland Park
Computers,$55,6 pc games,6/2,shawnee ks
Computers,$200,Dell Desktop with Dual Monitors + Surround Sound,6/2,Lee's Summit
Computers,$120,Dell Latitude E5570 intel I5 2.40Ghz/8gb /500 HDD /Win 10,6/1,south kc/Redbridge
Computers,$80,(3 Pack) Dell Optiplex 990 Intel I5 3.30Ghz/4Gb/250HDD/No OS,6/1,south kc
Computers,$700,"15” macbook pro i7, 16GB Ram, 500GB hard drive . Plus 27” Apple Cinema",6/1,Overland Park
Computers,$15,"Original Genuine OEM HP 22 Tri-Color Ink Cartridge. New, unopened.",6/1,Leawood
Computers,$100,Dell Inspiron 24 All in One PC Computer,5/31,Odessa
Computers,$240,"Dell Precision 7520 15.6"" FHD i7-6820HQ 2.70GHz32GB 512GB SSD Quadro M",5/31,Kansas City KS
Computers,$225,"Dell Precision 7710 2.7 GHz i7-6820HQ 16GB 256GB SSD 17.3"" FirePro W51",5/31,Kansas City KS
Computers,$240,"Dell Precision 7520 15.6"" FHD i7-7820HQ2.80GHz16GB 256GB SSD Qu",5/31,Kansas City KS
Computers,$10,Car Audio - Power Fuse,5/31,OVERLAND PARK
Computers,$25,Desktop PC,5/31,Kansas City
Computers,$40,Computer Printer,5/31,South KC
Computers,$400,HP Z2 Mini G4 desktop computer Xeon E-2226G 6-core 3.4 GHz 16GB 1Tb,5/31,Lees Summit
Computers,$475,"Dell Inspiron 7791 2 in 1 Touch Screen 17.3"" FHD i7 10510U 16GB 512GB",5/30,Kansas City KS
Computers,$300,Dell Precision 5520 i7-7820HQ 2.9GHz 32GB RAM512GB SSD Quadro M1200 Wi,5/30,Kansas City KS
Computers,$175,"Samsung 34"" Class Ultrawide Monitor with 21:9 Wide Screen,",5/30,Kansas City
Computers,$350,"HP Pavilion 15.6"" FHD Gaming Laptop, Intel Core i5-10300H, 8GB RAM, NV",5/30,
Computers,$300,HP laptop,5/30,Kansas City
Computers,$60,windows home10 dvd -  brand new,5/29,
Computers,$150,"I Buy Apple Computers, iMac's, Macbook - Working or Not Working",5/29,"Overland Park, KS"
Computers,$200,Laptop,5/29,Butler
Computers,$10,Acer Protective Laptop Sleeve,5/29,Independence
Computers,$900,Gaming pc,5/29,Leavenworth
Computers,$800,Microsoft Surface Pro 6,5/28,Olathe
