Price,Item_Title,Time_Listed,Location
$225,Asus Tuf Gaming RTX 3060 ti OC,4h ago,Pleasant Hill
$10,"24"" Samsung LED Monitor S24D300",6h ago,Overland Park
$60,Zeos Meridian 400 series Laptop Charger or AC Adapter,6/6,Overland Park
$330,TrippLite battery backup 1000 1500 Computer network,6/6,Blue Springs
$250,ECR4Kids 30-Bay Locking Laptop Or Tablet Charging Station Cart,6/6,Blue Springs
$155,"16 Bay  Laptop Tablet Charging Cart Chromebooks, iPad Tablets Computer",6/6,Blue Springs
$35,HP 64xl ink cartridges - 2 pk new,6/5,Western Shawnee
$20,OGIO Element Black Laptop Bag Case Messenger Briefcase Nylon Luggage,6/5,mission
$1,Bulk Cooling Fans NIDEC TA350DC Double Ball Inverter 50 Available,6/5,"Kansas City, MO"
$60,New Kensington Pro Fit Ergo Wireless Keyboard K75402US Windows Mac,6/5,"Kansas City, MO"
$250,Gigabyte Monitor,6/5,Kansas City
$15,Gateway Laptop Parts Cord Etc,6/5,Parkville Weston
,Computer parts Free,6/5,MO - Kansas City
,"Your choice 24,22,20 and 17 inch LCD monitors for you",6/5,Overland Park
$325,Printer HP Color LaserJet Pro 4201dw Wireless,6/5,"Overland Park, KS"
$100,Printer HP LaserJet Pro M203dw Wireless Monochrome,6/5,"Overland Park, KS"
$25,Dell E2011Hc 21.5” Monitor W/Power Cable and Stand,6/5,"Overland Park, KS"
$70,"HP E24 G5 FHD Monitor 23"" W/POWER CORD",6/5,"Overland Park, KS"
$20,Keyboard Logitech MK545 Advanced Wireless and Mouse Combo,6/5,"OVERLAND PARK, KS"
$40,"HP LaserJet Pro P1102w, Monochrome Wireless Laser Printer",6/5,"Overland Park, KS"
$30,Monitor Sceptre E205W-16003R 20 inch Widescreen LED with Built in Spea,6/5,"Overland Park, KS"
$20,2 GB Laptop Memory Modules        2) 1 GB Modules,6/5,Independence
$350,3070ti,6/4,Overland Park
$80,SCSI Card 19160,6/4,Wichita
$250,Intel i5 core CPU,6/4,Blue Springs
$300,Z790 AORUS PRO X motherboard,6/4,Blue Springs
$50,DDR5 RGB storage,6/4,Blue Springs
$70,980 PRO SSD card,6/4,Blue Springs
$250,Kraken elite liquid CPU cooler,6/4,Blue Springs
$100,RM SERIES RM 850,6/4,Blue Springs
$20,"Bundle 19 Cables and Cords (HDMI, USB, VGA, Printer, Telecom, Power)",6/4,"Raymore, MO"
$50,HP DeskJet 2755E Wireless All-in-One Color Inkjet Printer W/POWER CORD,6/4,"Overland Park, KS"
$25,Dell E2211Hc Widescreen 21.5” LCD Monitor LED Backlight With Stand,6/4,"Overland Park, KS"
$125,"BULK LISTING-LIGHT STANDS, TRIPODS, EASEL SPEAKER STAND, HOVERBOARD",6/4,"Overland Park, KS"
$90,"HP EliteDisplay E273 | 27"" Monitor | HD IPS Screen | Silver | 1FH50A8",6/4,"OVERLAND PARK, KS"
$35,New Flight Throttle Quadrant for Simulator,6/4,Grain Valley
$10,NZXT computer case,6/3,Kansas City
$20,Netgear wireless router,6/3,Liberty
$35,"17"" Computer monitor, NEC 1770",6/3,
$60,HP Wireless Rechargeable Mouse and Keyboard,6/2,"Overland Park, KS"
$200,HP D530 Compaq Slim w/ Pentium 4,6/1,Overland Park
$225,Dell 32” curved monitor ( $329 new),6/1,"Shawnee, KS"
$15,Google Fiber Network Box,6/1,Grandview
$29,▇▇ be quiet! Dark Rock Pro 4 CPU Cooler - AM5 & AM4 ▇▇,6/1,Kansas City
,"ComputerLabel printers, zebra, etc.  Handhelds too; brother, dymo",5/31,
$30,Creative Labs SB0730 Sound Blaster 7.1 Channels 24-bit 96KHz PCI Sound Card,5/31,Kansas City
$120,windows pro 11 usb version,5/30,Overland Park
$200,"HP 24"" Widescreen LCD Computer PC Monitor (Adjustable / Vertical)",5/30,Lenexa ($200 CASH OBO)
$100,CAT6 300 FT Ethernet networking cable new,5/29,overland park
$100,windows pro 11 SD DVD,5/29,Overland Park
$100,Brother MFC-8890DW High-Performance All-in-One Laser Printer,5/29,Overland Park
$350,Asus ROG Strix GeForce RTX 3070 Gaming OC with custom EK water block,5/28,"Olathe, KS"
$50,Printer/Fax,5/27,Lees Summit
$25,3D Glasses head set . Smart Phone Adaptor and Tripod,5/27,Kansas city Mo
$80,200 ft CAT7 flat Ethernet networking cable  Sstp rohs flat black cable,5/27,
$10,HP Printer AC power cord/adapter,5/27,Overland Park
$30,#1354 USB C Hub iVANKY 7 in 1 USB C Hub Multiport Adapter,5/27,Kansas City
$70,"#1353 iVANKY EdgeDock 1 USB C Laptop Docking Station, 12-in-1",5/27,Kansas City
$100,Amd ryzen 7 5700g,5/26,Gladstone
$1,"Various 500GB-2TB 3.5"" SATA Hard Drives",5/26,Overland Park
$20,#1344 128GB Flash Drive for iPhone Photo Stick USB Memory Stick Thumb,5/25,Kansas City
$300,AsRock B450M Pro 4 Motherboard,5/25,Kansas City
$60,"5 bottles / CORSAIR Hydro X Series, XL8, Performance Coolant, 1L, Translucent Pu",5/25,Overland Park
$10,8 GB DDR4 RAM,5/24,
$15,Brand New Cisco Router,5/24,
$350,Intel Arc A770 Ltd 16gb,5/21,
$50,ATTO FC42-ES NEW IN BOX dual channel 4 gig FC controller,5/21,
$5,IPad holder,5/21,Lenexa
$100,32GB G.Skill Trident Z5 RGB DDR5 Gaming Computer Memory,5/18,Gladstone
$250,Dell T610 Server (with rack mount kit),5/18,Overland Park
$40,Logitech MX keys mini for Mac,5/18,
$20,"44 Blank 3.5"" Diskettes, Imation and Staples (Open Boxes, Unused)",5/17,"Raymore, MO (Kansas City Area)"
$22,"NEW Bundle 5 Cables (HDMI, USB, VGA) & 1 Adapter (Mini Display Port)",5/17,"Raymore, MO (Kansas City Area)"
$8,"Precision by Xidex DS, DD 5.25 diskettes",5/17,Kansas City MO North
$50,Brenthaven notebook cary case,5/16,Olathe
$800,Valve Index,5/15,"Westwood, KS"
$25,"1990s Software: Pagemaker, Lotus 1-2-3, Harvard Graphics, Windows",5/15,"Raymore, MO (Kansas City Area)"
$25,Lid Repair HP Laptop Hinges,5/14,"Kansas City North Near Liberty, MO"
$75,"McKlein Black Leather Roller Laptop Computer Rolling Bag 15""",5/11,Shawnee
$160,"Samsung 28"" UHD Monitor",5/10,Lenexa
$50,Corsair 5000D,5/8,Kansas City
$10,CPU Cooler: Xigmatek Loki SD963,5/8,South Kansas City
$40,CPU Air Cooler: Cooler Master,5/8,South Kansas City
$25,Canon Pixma TS3300 printer,5/6,Independence
$200,Restoration Hardware Chandelier,5/5,Overland Park
$10,"Certron DS, DD 5.25 diskettes",5/5,Kansas City MO North
$3,"Certron DS, DD 5.25 diskettes",5/5,Kansas City MO North
$10,"Certron DS, DD 5.25 diskettes",5/5,Kansas City MO North
$5,"Sony DS, DD 5.25 diskettes",5/5,Kansas City MO North
$75,"47"" 3d tv vizio or hard drives.",5/4,Shawnee
$1,"FujiFilm DS, HD 5.25 diskette",5/4,Kansas City MO North
$10,"3M Highland DS, DD 5.25"" diskettes",5/4,Kansas City MO North
$20,Netgear EX7000 Wi-Fi Extender,5/3,Peculiar
$25,"2 TB, 1 TB, 500 GB hard drives",5/1,Kansas City
$35,MSI 2GB video card,5/1,Kansas City
$1,AMD 3600 - ASROCK B550M PRO4 - LIAN LI - Corsair AX850 - 16GB GSKILL,4/27,Grandview
$99,Netgear GS110TP-300NAS POE+ Managed Network Switch,4/27,Grandview
$90,Thermaltake TH420 V2 Ultra. AIO liquid Cooler,4/26,Odessa
$25,Okidata C5100 Toner Cartridges,4/25,Independence
$25,CAT5e network cable,4/24,
$475,EVGA RTX 3080 FTW3 ULTRA 10G-P5-3897-KR,4/22,Olathe
$300,AMD Ryzen 9 7900 CPU,4/22,
$30,New j5create VGA USB Display Adapter,4/21,Kansas City
